Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1526401450539279349    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1526401450836892763    6.720127    3.360064    3.360064    1.000000    1.000000    1.000000    2.039434    2.039434    2.039434
2    2    1526401451132729973    5.055180    3.370120    3.380237    1.000000    1.000000    1.000000    2.092218    2.092218    2.145318
3    3    1526401451429038765    4.495597    3.371698    3.374858    1.000000    1.000000    1.000000    2.160179    2.160179    2.296294
4    4    1526401451725108266    4.216460    3.373168    3.377585    1.000000    1.000000    1.000000    2.200541    2.200541    2.321837
5    5    1526401452021107559    4.049052    3.374210    3.378386    1.000000    1.000000    1.000000    2.703018    2.703018    4.716035
6    6    1526401452316972269    3.937688    3.375161    3.379923    1.000000    1.000000    1.000000    2.649253    2.649253    2.379973
7    7    1526401452613127519    3.857563    3.375368    3.376607    1.000000    1.000000    1.000000    2.612059    2.612059    2.388798
8    8    1526401452909153687    3.797670    3.375706    3.378080    1.000000    1.000000    1.000000    2.587480    2.587480    2.415293
9    9    1526401453204790897    3.751625    3.376463    3.382524    1.000000    1.000000    1.000000    2.569467    2.569467    2.425067
10    10    1526401453501075856    3.713962    3.376329    3.375129    1.000000    1.000000    1.000000    2.554956    2.554956    2.424409
11    11    1526401453797071982    3.683476    3.376519    3.378423    1.000000    1.000000    1.000000    2.543184    2.543184    2.425390
12    12    1526401454093120150    3.658014    3.376628    3.377829    1.000000    1.000000    1.000000    2.535497    2.535497    2.450912
13    13    1526401454389138193    3.636497    3.376747    3.378172    1.000000    1.000000    1.000000    2.528018    2.528018    2.438226
14    14    1526401454685392360    3.617846    3.376657    3.375480    1.000000    1.000000    1.000000    2.696646    2.696646    4.887989
15    15    1526401454981803985    3.601556    3.376458    3.373687    1.000000    1.000000    1.000000    2.680119    2.680119    2.448939
16    16    1526401455277207863    3.588066    3.377003    3.385196    1.000000    1.000000    1.000000    2.667165    2.667165    2.472358
17    17    1526401455573123323    3.575796    3.377141    3.379344    1.000000    1.000000    1.000000    2.655903    2.655903    2.475589
18    18    1526401455869191948    3.564786    3.377166    3.377595    1.000000    1.000000    1.000000    2.646065    2.646065    2.478790
19    19    1526401456165198658    3.554975    3.377226    3.378302    1.000000    1.000000    1.000000    2.637529    2.637529    2.483839
20    20    1526401456461240784    3.546122    3.377259    3.377898    1.000000    1.000000    1.000000    2.630152    2.630152    2.489963
21    21    1526401456757318785    3.538093    3.377270    3.377488    1.000000    1.000000    1.000000    2.623471    2.623471    2.489830
22    22    1526401457053466577    3.530755    3.377244    3.376692    1.000000    1.000000    1.000000    2.729069    2.729069    4.946250
23    23    1526401457349486120    3.524122    3.377284    3.378155    1.000000    1.000000    1.000000    2.718559    2.718559    2.487282
24    24    1526401457645491663    3.518049    3.377326    3.378315    1.000000    1.000000    1.000000    2.708979    2.708979    2.488575
25    25    1526401457941259248    3.512574    3.377475    3.381033    1.000000    1.000000    1.000000    2.699968    2.699968    2.483453
26    26    1526401458237474499    3.507316    3.377415    3.375923    1.000000    1.000000    1.000000    2.691620    2.691620    2.483022
27    27    1526401458533399750    3.502574    3.377482    3.379232    1.000000    1.000000    1.000000    2.684248    2.684248    2.492477
28    28    1526401458829572209    3.498067    3.377444    3.376411    1.000000    1.000000    1.000000    2.677346    2.677346    2.491055
29    29    1526401459125611460    3.493925    3.377461    3.377930    1.000000    1.000000    1.000000    2.671093    2.671093    2.495980
30    30    1526401459421618670    3.490072    3.377489    3.378296    1.000000    1.000000    1.000000    2.748470    2.748470    4.992946
31    31    1526401459717626087    3.486467    3.377514    3.378294    1.000000    1.000000    1.000000    2.739962    2.739962    2.484681
32    32    1526401460013586214    3.483104    3.377556    3.378834    1.000000    1.000000    1.000000    2.732282    2.732282    2.494089
33    33    1526401460309683048    3.479897    3.377547    3.377274    1.000000    1.000000    1.000000    2.725084    2.725084    2.494789
34    34    1526401460606062256    3.476781    3.377444    3.374056    1.000000    1.000000    1.000000    2.718688    2.718688    2.507831
