Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527260197462998722    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527260197775899805    6.391796    3.195898    3.195898    1.000000    1.000000    1.000000    3.334629    3.334629    3.334629
2    2    1527260198088449348    4.796542    3.197695    3.199493    1.000000    1.000000    1.000000    3.327716    3.327716    3.320795
3    3    1527260198401117140    4.263854    3.197891    3.198283    1.000000    1.000000    1.000000    3.344334    3.344334    3.377575
4    4    1527260198714149015    3.996322    3.197058    3.194563    1.000000    1.000000    1.000000    4.208553    4.208553    6.798512
5    5    1527260199027008265    3.836294    3.196911    3.196326    1.000000    1.000000    1.000000    4.046969    4.046969    3.400782
6    6    1527260199339894098    3.729563    3.196769    3.196054    1.000000    1.000000    1.000000    3.942620    3.942620    3.421015
7    7    1527260199652363641    3.654028    3.197274    3.200312    1.000000    1.000000    1.000000    3.873938    3.873938    3.461393
8    8    1527260199964960017    3.597178    3.197492    3.199013    1.000000    1.000000    1.000000    3.825045    3.825045    3.482606
9    9    1527260200277335685    3.553235    3.197912    3.201274    1.000000    1.000000    1.000000    4.179237    4.179237    7.016126
10    10    1527260200590143269    3.517586    3.197805    3.196853    1.000000    1.000000    1.000000    4.112696    4.112696    3.514020
11    11    1527260200902402354    3.488977    3.198229    3.202469    1.000000    1.000000    1.000000    4.063172    4.063172    3.567217
12    12    1527260201214680189    3.465113    3.198566    3.202277    1.000000    1.000000    1.000000    4.020702    4.020702    3.552935
13    13    1527260201527463481    3.444488    3.198453    3.197102    1.000000    1.000000    1.000000    3.982297    3.982297    3.521643
14    14    1527260201840229523    3.426824    3.198369    3.197278    1.000000    1.000000    1.000000    4.204226    4.204226    7.088247
15    15    1527260202152951231    3.411548    3.198327    3.197731    1.000000    1.000000    1.000000    4.161095    4.161095    3.557390
16    16    1527260202465861982    3.398054    3.198169    3.195799    1.000000    1.000000    1.000000    4.123841    4.123841    3.565461
17    17    1527260202778609440    3.386252    3.198128    3.197468    1.000000    1.000000    1.000000    4.092278    4.092278    3.587393
18    18    1527260203091280399    3.375808    3.198134    3.198250    1.000000    1.000000    1.000000    4.065597    4.065597    3.611992
19    19    1527260203403727775    3.366590    3.198261    3.200539    1.000000    1.000000    1.000000    4.042205    4.042205    3.620837
20    20    1527260203715940319    3.358419    3.198495    3.202946    1.000000    1.000000    1.000000    4.198960    4.198960    7.181665
