Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527261058373098800    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527261058658490703    7.007907    3.503954    3.503954    1.000000    1.000000    1.000000    2.285016    2.285016    2.285016
2    2    1527261058944799729    5.247499    3.498333    3.492730    1.000000    1.000000    1.000000    2.746221    2.746221    3.205949
3    3    1527261059230165757    4.667080    3.500310    3.504271    1.000000    1.000000    1.000000    2.864884    2.864884    3.102612
4    4    1527261059515822493    4.375511    3.500409    3.500705    1.000000    1.000000    1.000000    2.930500    2.930500    3.127372
5    5    1527261059801229521    4.201296    3.501080    3.503768    1.000000    1.000000    1.000000    3.614216    3.614216    6.351704
6    6    1527261060087378964    4.083347    3.500011    3.494677    1.000000    1.000000    1.000000    3.544537    3.544537    3.196777
7    7    1527261060372768367    4.000661    3.500578    3.503984    1.000000    1.000000    1.000000    3.501241    3.501241    3.241175
8    8    1527261060657961187    3.938968    3.501305    3.506400    1.000000    1.000000    1.000000    3.473200    3.473200    3.276580
9    9    1527261060943432173    3.890546    3.501491    3.502983    1.000000    1.000000    1.000000    3.452312    3.452312    3.285132
10    10    1527261061229394616    3.851142    3.501038    3.496963    1.000000    1.000000    1.000000    3.435435    3.435435    3.283739
11    11    1527261061515039435    3.819296    3.501021    3.500851    1.000000    1.000000    1.000000    3.424869    3.424869    3.319217
12    12    1527261061800372713    3.793102    3.501325    3.504674    1.000000    1.000000    1.000000    3.415593    3.415593    3.313445
13    13    1527261062086055074    3.770580    3.501253    3.500391    1.000000    1.000000    1.000000    3.408753    3.408753    3.326698
14    14    1527261062371702809    3.751309    3.501222    3.500815    1.000000    1.000000    1.000000    3.402235    3.402235    3.317513
15    15    1527261062657849711    3.734173    3.500787    3.494708    1.000000    1.000000    1.000000    3.397686    3.397686    3.334116
16    16    1527261062943562904    3.719535    3.500738    3.500013    1.000000    1.000000    1.000000    3.393895    3.393895    3.337042
17    17    1527261063229195348    3.706681    3.500754    3.501003    1.000000    1.000000    1.000000    3.590072    3.590072    6.729134
18    18    1527261063515665624    3.694653    3.500198    3.490764    1.000000    1.000000    1.000000    3.577322    3.577322    3.361190
19    19    1527261063801710108    3.684183    3.499974    3.495960    1.000000    1.000000    1.000000    3.566804    3.566804    3.377723
20    20    1527261064087545552    3.674896    3.499901    3.498516    1.000000    1.000000    1.000000    3.557231    3.557231    3.375421
21    21    1527261064372535498    3.667011    3.500329    3.508896    1.000000    1.000000    1.000000    3.549001    3.549001    3.383976
22    22    1527261064657851901    3.659651    3.500535    3.504881    1.000000    1.000000    1.000000    3.541601    3.541601    3.385985
23    23    1527261064943328345    3.652840    3.500639    3.502916    1.000000    1.000000    1.000000    3.534678    3.534678    3.382283
24    24    1527261065228885956    3.646554    3.500692    3.501920    1.000000    1.000000    1.000000    3.529367    3.529367    3.407165
25    25    1527261065513794319    3.641102    3.501060    3.509900    1.000000    1.000000    1.000000    3.524277    3.524277    3.401789
26    26    1527261065799283388    3.635784    3.501125    3.502761    1.000000    1.000000    1.000000    3.519281    3.519281    3.394326
27    27    1527261066084882499    3.630807    3.501135    3.501411    1.000000    1.000000    1.000000    3.514941    3.514941    3.402097
28    28    1527261066371059483    3.625924    3.500893    3.494341    1.000000    1.000000    1.000000    3.510508    3.510508    3.391031
29    29    1527261066655993762    3.621922    3.501191    3.509581    1.000000    1.000000    1.000000    3.625534    3.625534    6.854282
30    30    1527261066941321957    3.618020    3.501310    3.504736    1.000000    1.000000    1.000000    3.618953    3.618953    3.427884
31    31    1527261067226516986    3.614423    3.501472    3.506372    1.000000    1.000000    1.000000    3.612589    3.612589    3.421392
32    32    1527261067511931097    3.610965    3.501541    3.503681    1.000000    1.000000    1.000000    3.605943    3.605943    3.399807
33    33    1527261067797155250    3.607788    3.501677    3.506014    1.000000    1.000000    1.000000    3.600337    3.600337    3.420720
34    34    1527261068081879405    3.604984    3.501984    3.512171    1.000000    1.000000    1.000000    3.594972    3.594972    3.417378
35    35    1527261068367827682    3.601899    3.501846    3.497136    1.000000    1.000000    1.000000    3.589916    3.589916    3.418258
36    36    1527261068653475542    3.599090    3.501817    3.500814    1.000000    1.000000    1.000000    3.584935    3.584935    3.410668
37    37    1527261068940132734    3.596090    3.501456    3.488487    1.000000    1.000000    1.000000    3.580206    3.580206    3.410596
38    38    1527261069226995425    3.593180    3.501047    3.485988    1.000000    1.000000    1.000000    3.575740    3.575740    3.411238
39    39    1527261069513163117    3.590644    3.500877    3.494455    1.000000    1.000000    1.000000    3.571586    3.571586    3.414012
40    40    1527261069799027144    3.588330    3.500809    3.498167    1.000000    1.000000    1.000000    3.567460    3.567460    3.406693
41    41    1527261070084231048    3.586331    3.500942    3.506263    1.000000    1.000000    1.000000    3.647165    3.647165    6.840299
42    42    1527261070369632326    3.584369    3.501011    3.503839    1.000000    1.000000    1.000000    3.642288    3.642288    3.442167
43    43    1527261070655310395    3.582417    3.500998    3.500444    1.000000    1.000000    1.000000    3.637578    3.637578    3.439799
44    44    1527261070941097505    3.580522    3.500955    3.499108    1.000000    1.000000    1.000000    3.632959    3.632959    3.434476
45    45    1527261071226633033    3.578782    3.500983    3.502191    1.000000    1.000000    1.000000    3.628087    3.628087    3.413635
46    46    1527261071512172602    3.577117    3.501008    3.502142    1.000000    1.000000    1.000000    3.623725    3.623725    3.427378
47    47    1527261071797935171    3.575463    3.500974    3.499409    1.000000    1.000000    1.000000    3.619346    3.619346    3.417988
48    48    1527261072083773864    3.573858    3.500922    3.498477    1.000000    1.000000    1.000000    3.615277    3.615277    3.424180
49    49    1527261072369633683    3.572313    3.500866    3.498218    1.000000    1.000000    1.000000    3.611146    3.611146    3.412991
50    50    1527261072654962502    3.570963    3.500944    3.504728    1.000000    1.000000    1.000000    3.607761    3.607761    3.441710
51    51    1527261072940242781    3.569677    3.500971    3.505325    1.000000    1.000000    1.000000    3.604513    3.630880    3.441899
52    52    1527261073225474226    3.568453    3.501235    3.505925    1.000000    1.000000    1.000000    3.601169    3.635395    3.430404
53    53    1527261073511112086    3.567179    3.501169    3.500936    1.000000    1.000000    1.000000    3.597692    3.641671    3.416882
54    54    1527261073796926530    3.565911    3.501130    3.498773    1.000000    1.000000    1.000000    3.657990    3.716201    6.851659
55    55    1527261074082243100    3.564803    3.501152    3.504879    1.000000    1.000000    1.000000    3.654202    3.658200    3.449418
56    56    1527261074367809336    3.563678    3.501295    3.501815    1.000000    1.000000    1.000000    3.650639    3.663376    3.454638
57    57    1527261074653537071    3.562558    3.501212    3.499835    1.000000    1.000000    1.000000    3.646890    3.667284    3.437034
58    58    1527261074939632806    3.561397    3.500991    3.495333    1.000000    1.000000    1.000000    3.643474    3.670716    3.449104
