Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527260017979452336    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527260018293281209    6.372900    3.186450    3.186450    1.000000    1.000000    1.000000    1.766303    1.766303    1.766303
2    2    1527260018607216165    4.778867    3.185911    3.185373    1.000000    1.000000    1.000000    2.892809    2.892809    4.018934
3    3    1527260018920933204    4.248626    3.186470    3.187586    1.000000    1.000000    1.000000    3.195104    3.195104    3.800010
4    4    1527260019234595202    3.983610    3.186888    3.188145    1.000000    1.000000    1.000000    4.326932    4.326932    7.724203
5    5    1527260019548091118    3.824972    3.187477    3.189834    1.000000    1.000000    1.000000    4.244112    4.244112    3.912523
6    6    1527260019862004865    3.718356    3.187162    3.185588    1.000000    1.000000    1.000000    4.195806    4.195806    3.954424
7    7    1527260020175528822    3.642860    3.187503    3.189549    1.000000    1.000000    1.000000    4.165956    4.165956    3.986722
8    8    1527260020489618111    3.585421    3.187041    3.183808    1.000000    1.000000    1.000000    4.152831    4.152831    4.061055
9    9    1527260020803821857    3.540613    3.186552    3.182648    1.000000    1.000000    1.000000    4.596372    4.596372    8.139811
10    10    1527260021117516147    3.505346    3.186678    3.187817    1.000000    1.000000    1.000000    4.541290    4.541290    4.045359
11    11    1527260021431182312    3.476518    3.186808    3.188103    1.000000    1.000000    1.000000    4.502255    4.502255    4.111731
12    12    1527260021745363767    3.452020    3.186480    3.182874    1.000000    1.000000    1.000000    4.468994    4.468994    4.103568
13    13    1527260022058997932    3.431755    3.186629    3.188428    1.000000    1.000000    1.000000    4.442774    4.442774    4.127943
14    14    1527260022372799388    3.414253    3.186636    3.186728    1.000000    1.000000    1.000000    4.718618    4.718618    8.304707
15    15    1527260022686426136    3.399212    3.186761    3.188504    1.000000    1.000000    1.000000    4.684437    4.684437    4.205627
16    16    1527260023000394717    3.385819    3.186653    3.185032    1.000000    1.000000    1.000000    4.654472    4.654472    4.205230
17    17    1527260023313671966    3.374439    3.186970    3.192061    1.000000    1.000000    1.000000    4.626392    4.626392    4.176358
18    18    1527260023627610922    3.363928    3.186879    3.185333    1.000000    1.000000    1.000000    4.601420    4.601420    4.177111
19    19    1527260023941399545    3.354609    3.186878    3.186859    1.000000    1.000000    1.000000    4.580238    4.580238    4.198967
20    20    1527260024255233459    3.346197    3.186854    3.186399    1.000000    1.000000    1.000000    4.771580    4.771580    8.406529
21    21    1527260024568876332    3.338683    3.186925    3.188340    1.000000    1.000000    1.000000    4.744901    4.744901    4.211076
22    22    1527260024882273081    3.331971    3.187103    3.190844    1.000000    1.000000    1.000000    4.721172    4.721172    4.222252
23    23    1527260025196133662    3.325628    3.187060    3.186128    1.000000    1.000000    1.000000    4.701080    4.701080    4.259178
24    24    1527260025509637577    3.319971    3.187172    3.189753    1.000000    1.000000    1.000000    4.682593    4.682593    4.257035
25    25    1527260025823230159    3.314729    3.187240    3.188851    1.000000    1.000000    1.000000    4.833663    4.833663    8.461262
26    26    1527260026136880365    3.309867    3.187279    3.188265    1.000000    1.000000    1.000000    4.810482    4.810482    4.230758
27    27    1527260026450486905    3.305381    3.187332    3.188709    1.000000    1.000000    1.000000    4.788827    4.788827    4.225556
28    28    1527260026764372570    3.301111    3.187280    3.185873    1.000000    1.000000    1.000000    4.769507    4.769507    4.248101
29    29    1527260027077926568    3.297256    3.187348    3.189243    1.000000    1.000000    1.000000    4.752872    4.752872    4.286796
30    30    1527260027391541775    3.293636    3.187390    3.188621    1.000000    1.000000    1.000000    4.882408    4.882408    8.640452
31    31    1527260027705299189    3.290202    3.187383    3.187176    1.000000    1.000000    1.000000    4.862037    4.862037    4.250953
32    32    1527260028018576313    3.287139    3.187529    3.192062    1.000000    1.000000    1.000000    4.842495    4.842495    4.235812
33    33    1527260028331965604    3.284227    3.187632    3.190920    1.000000    1.000000    1.000000    4.825591    4.825591    4.284087
34    34    1527260028645998934    3.281287    3.187536    3.184375    1.000000    1.000000    1.000000    4.808822    4.808822    4.256020
35    35    1527260028960076515    3.278502    3.187433    3.183927    1.000000    1.000000    1.000000    4.915897    4.915897    8.552317
36    36    1527260029273633805    3.276023    3.187482    3.189210    1.000000    1.000000    1.000000    4.898887    4.898887    4.303191
37    37    1527260029587308636    3.273645    3.187496    3.188015    1.000000    1.000000    1.000000    4.883201    4.883201    4.318424
38    38    1527260029901107634    3.271358    3.187477    3.186753    1.000000    1.000000    1.000000    4.868537    4.868537    4.326081
39    39    1527260030214878382    3.269196    3.187466    3.187040    1.000000    1.000000    1.000000    4.853605    4.853605    4.286292
40    40    1527260030528466714    3.267189    3.187501    3.188894    1.000000    1.000000    1.000000    4.838360    4.838360    4.243541
41    41    1527260030842271753    3.265225    3.187482    3.186692    1.000000    1.000000    1.000000    4.929429    4.929429    8.571229
42    42    1527260031156359500    3.263285    3.187395    3.183824    1.000000    1.000000    1.000000    4.914398    4.914398    4.298837
43    43    1527260031470532789    3.261414    3.187291    3.182957    1.000000    1.000000    1.000000    4.900733    4.900733    4.327631
