inst_per_warp,kernelname,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,architecture,application_name,input
123.0,STREAM_Triad,1.0,1.0,0.952235,0.000684,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2500704,1250352,0,5,2500889,1287535,2500733,1276589,0.0,0.0,537270343958.528,268635171979.264,537270343958.528,268635171979.264,0.0,0.0,0.0,0.0,537276786409.4721,274272316555.264,805906589679.616,537270343958.528,268635171979.264,537310072406.016,276623811149.824,0.0,1074224.16896,0.0,0.0,0.0,0.0,1.0,937764,0,0,0,0,20005632,0,10002816,0,0,23731680,5004772,9,1,0.0047411,0.027280000000000002,0.957375,0.0,0.0,0.0008732999999999999,0.0008900000000000002,0.0006588999999999999,0.0,10002816,0,50014080,0,10002816,30008448,40011264,0,5004772,937764,937764,1562940,1562940,0,0.0,0.0,0,2500704,0.006821000000000001,0.0013598,1250352,0,0,0,0,0,0.298003,0.27956,0.06988989999999999,0.972225,0.8999209999999999,0.35794000000000004,0,1,1,1,1,0,0,1,0,0.0,0.007499899999999999,0.0,0,1,V100,stream,N10002816_STREAM_Triad
97.000985,bpnn_adjust_weights_cuda,0.999987,0.999994,0.9697110000000001,0.004985,0.0,0.0,0.0,0.0,3.242081,4.999974,0,0,0,0,1773279,781366,0,5,722671,781424,679377,685535,0.74079,0.0,708138101637.12,343338611900.416,973994429775.872,429173533310.976,0.557032,0.425698,0.17792000000000002,1.0,373155348611.072,376537635356.6721,1587151477145.6,396517823217.664,429173533310.976,396935508787.2,429205745565.696,0.0,2746283.45856,0.0,0.0,0.0,0.0,0.799998,722406,22503280,2500368,5000736,10001440,0,0,0,0,0,3438007,3453430,9,1,0.004421100000000001,0.043364099999999996,0.750278,5.199999999999999e-06,0.107124,0.0037166,0.0031420000000000003,0.0295064,0.0,0,17502544,22503216,22503280,2500352,22503280,20002816,0,3453430,156273,156273,1015775,1015775,0,0.0,0.0,0,721912,0.0460966,0.012344299999999999,781366,0,0,0,0,0,0.391602,0.599151,0.14978699999999998,0.977279,0.922785,1.307779,0,2,2,2,1,3,0,1,1,0.0,0.0,0.055210900000000014,0,1,V100,backprop,-156272_bpnn_adjust_weights_cuda
926.069598,invert_mapping,0.999993,0.999959,0.959929,0.002132,0.0,0.0,0.0,0.0,31.911581,3.999826,0,0,0,0,12491533,1565700,0,5,11441084,1565740,21816119,1600570,0.08912940000000001,0.0,50194209046.528,50194209046.528,400461676937.216,50194209046.528,0.0150934,0.0800137,0.0404285,0.11066199999999997,699395695706.112,51312081659.4944,737960207056.896,365407227609.088,50194209046.528,366784838369.28,50195497536.7168,0.0,160291.84,0.0,0.0,0.0,0.0,1.0,5754764,0,0,0,0,0,0,0,0,0,10697956,2711637,9,1,0.000107,0.0024558,0.5441560000000001,0.0,0.0,3.6e-05,0.0003649,0.0013713,0.0,0,0,49370656,0,2948464,25051200,4791728,0,2711637,161260,161260,829014,829014,0,0.0,0.0,0,11398103,0.450393,0.0011143,1565700,0,0,0,0,0,0.026792000000000003,0.026714,0.006678399999999999,0.967842,0.953538,0.095111,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N368400_invert_mapping
900.810176,invert_mapping,0.999994,0.999961,0.959915,0.001677,0.0,0.0,0.0,0.0,31.942831,4.499833,0,0,0,0,16274553,2292620,0,5,15681245,2654106,31259728,2295769,0.0527473,0.0,45914166761.8816,45914166761.8816,366672095477.76,51653638933.7088,0.0230382,0.0319122,0.0156244,0.195259,704294105907.2,51724613268.2752,668734997921.792,353942886154.24,51653638933.7088,353304009768.96,59798078042.9312,0.0,112650.24,0.0,0.0,0.0,0.0,0.888884,7420362,0,0,0,0,0,0,0,0,0,13951748,3532016,9,1,9.66e-05,0.0027444,0.537483,0.0,0.0,3.18e-05,0.00012,0.0017475,0.0,0,0,64317464,0,3852116,32606000,6265732,0,3532016,210796,210796,1079926,1079926,0,0.0,0.0,0,15709572,0.45671300000000004,0.0010628,2292620,0,0,0,0,0,0.024084,0.024124,0.006031,0.982288,0.950834,0.08844400000000001,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N479500_invert_mapping
908.489603,invert_mapping,0.9999809999999999,0.99983,0.9597950000000001,0.004499,0.0,0.0,0.0,0.0,31.877705,3.999274,0,0,0,0,4478435,561850,0,5,4057446,561889,7806709,645985,0.0951168,0.0,49675162248.8064,49675162248.8064,395954108760.064,49675162248.8064,0.014352799999999999,0.08378920000000001,0.0391576,0.178702,690219498078.208,57113830857.1136,752231309639.68,359940807983.104,49675162248.8064,358732848431.104,49678598222.6432,0.0,442064.896,0.0,0.0,0.0,0.0,1.0,2127023,0,0,0,0,0,0,0,0,0,971820,976192,9,1,0.00014890000000000001,0.0014380999999999999,0.661061,0.0,0.0,6.159999999999999e-05,0.000559,0.0001647,0.0,0,0,17727696,0,1060824,8989600,1725048,0,976192,58048,58048,297704,297704,0,0.0,0.0,0,4071107,0.33555999999999997,0.0010052,561850,0,0,0,0,0,0.096905,0.027184,0.0067961,0.942368,0.788921,0.077477,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N132200_invert_mapping
97.001072,bpnn_adjust_weights_cuda,0.999986,0.999994,0.9697110000000001,0.0059,0.0,0.0,0.0,0.0,3.244847,4.9999720000000005,0,0,0,0,1631058,718086,0,5,665270,741401,622939,620319,0.7402890000000001,0.0,695546331267.072,337233315889.152,957492091682.816,421542450167.808,0.559789,0.425275,0.177274,1.0,365687474225.152,364149875933.184,1558654369136.64,390065708597.248,421542450167.808,390538154999.808,435229437198.336,0.0,2935163.453440001,0.0,0.0,0.0,0.0,0.799998,663782,20680816,2297872,4595744,9191456,0,0,0,0,0,3159575,3178218,9,1,0.0062219,0.0424157,0.737917,4.8e-06,0.112298,0.0034566,0.0144095,0.028174200000000003,0.0,0,16085072,20680752,20680816,2297856,20680816,18382848,0,3178218,143617,143617,933511,933511,0,0.0,0.0,0,664465,0.0436963,0.0114044,718086,0,0,0,0,0,0.402647,0.6145010000000001,0.153625,0.974843,0.916797,1.296648,0,2,2,2,1,3,0,1,1,0.0,0.0,0.0558957,0,1,V100,backprop,-143616_bpnn_adjust_weights_cuda
123.0,STREAM_Add,1.0,1.0,0.952235,0.0005740000000000001,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2502528,1251264,0,5,2502705,1294337,2502554,1289395,0.0,0.0,535133597728.768,267566798864.384,535133597728.768,267566798864.384,0.0,0.0,0.0,0.0,535140040179.712,275720794275.84,802701470334.976,535133597728.768,267566798864.384,535172252434.432,276777356230.656,0.0,1069180.5184,0.0,0.0,0.0,0.0,1.0,938448,0,0,0,0,10010112,10010112,0,0,0,22075425,5007933,9,1,0.005790399999999999,0.0330923,0.948973,0.0,0.0,0.0008799999999999998,0.0008366999999999999,0.0006192999999999999,0.0,10010112,0,50050560,0,10010112,30030336,40040448,0,5007933,938448,938448,1564080,1564080,0,0.0,0.0,0,2502528,0.0084391,0.0013682,1251264,0,0,0,0,0,0.34949,0.328512,0.0821279,0.971463,0.898394,0.403691,0,1,1,2,1,0,0,1,0,0.0,0.0044347,0.0,0,1,V100,stream,N10010112_STREAM_Add
123.0,STREAM_Triad,1.0,1.0,0.952235,0.000607,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2505600,1252800,0,5,2505768,1291529,2505630,1278932,0.0,0.0,536340483538.944,268170241769.472,536340483538.944,268170241769.472,0.0,0.0,0.0,0.0,536346925989.888,273764436672.512,804511799050.24,536340483538.944,268170241769.472,536376990760.96,276460602392.576,0.0,1070271.03744,0.0,0.0,0.0,0.0,1.0,939600,0,0,0,0,20044800,0,10022400,0,0,20762028,5014246,9,1,0.0057064,0.0328984,0.949229,0.0,0.0,0.000906,0.0008466000000000001,0.0006494999999999999,0.0,10022400,0,50112000,0,10022400,30067200,40089600,0,5014246,939600,939600,1566000,1566000,0,0.0,0.0,0,2505600,0.0083433,0.0014203,1252800,0,0,0,0,0,0.349879,0.327656,0.081914,0.972302,0.8976069999999999,0.40621,0,1,1,2,1,0,0,1,0,0.0,0.0091026,0.0,0,1,V100,stream,N10022400_STREAM_Triad
123.0,STREAM_Add,1.0,1.0,0.952235,0.000599,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2503520,1251760,0,5,2503709,1293627,2503548,1279319,0.0,0.0,535128229019.648,267563577638.912,535128229019.648,267563577638.912,0.0,0.0,0.0,0.0,535134671470.592,273455199027.2,802692880400.384,535128229019.648,267563577638.912,535169031208.96,276513215741.952,0.0,1068740.11648,0.0,0.0,0.0,0.0,1.0,938820,0,0,0,0,10014080,10014080,0,0,0,20075101,5010105,9,1,0.0047343,0.0273631,0.957401,0.0,0.0,0.000848,0.0008244999999999999,0.000638,0.0,10014080,0,50070400,0,10014080,30042240,40056320,0,5010105,938820,938820,1564700,1564700,0,0.0,0.0,0,2503520,0.0068748,0.0013154999999999998,1251760,0,0,0,0,0,0.302178,0.278798,0.06969940000000001,0.973309,0.9001959999999999,0.354588,0,1,1,1,1,0,0,1,0,0.0,0.0038529000000000002,0.0,0,1,V100,stream,N10014080_STREAM_Add
123.0,STREAM_Triad,1.0,1.0,0.952235,0.000599,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2503232,1251616,0,5,2503390,1295421,2503255,1282793,0.0,0.0,536086006726.656,268042466492.416,536086006726.656,268042466492.416,0.0,0.0,0.0,0.0,536090301693.952,274718993154.048,804128473219.072,536086006726.656,268042466492.416,536119292723.2,277423748808.704,0.0,1070774.35392,0.0,0.0,0.0,0.0,1.0,938712,0,0,0,0,20025856,0,10012928,0,0,20742406,5009287,9,1,0.005763399999999999,0.033080800000000014,0.948933,0.0,0.0,0.0009067,0.0008667,0.0006454999999999999,0.0,10012928,0,50064640,0,10012928,30038784,40051712,0,5009287,938712,938712,1564520,1564520,0,0.0,0.0,0,2503232,0.0083935,0.0014097,1251616,0,0,0,0,0,0.35185,0.32910300000000003,0.08227570000000001,0.972994,0.8978430000000001,0.406664,0,1,1,2,1,0,0,1,0,0.0,0.008954299999999998,0.0,0,1,V100,stream,N10012928_STREAM_Triad
123.0,STREAM_Triad,1.0,1.0,0.952235,0.000657,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2501664,1250832,0,5,2501854,1290987,2501696,1276470,0.0,0.0,537315441115.136,268657720557.568,537315441115.136,268657720557.568,0.0,0.0,0.0,0.0,537321883566.08,274163868631.04,805973161672.7041,537315441115.136,268657720557.568,537356243304.448,277282014887.93604,0.0,1073909.59616,0.0,0.0,0.0,0.0,1.0,938124,0,0,0,0,20013312,0,10006656,0,0,20729413,5006551,9,1,0.005766299999999999,0.0329399,0.948925,0.0,0.0,0.0009132,0.0009988999999999998,0.0006588999999999999,0.0,10006656,0,50033280,0,10006656,30019968,40026624,0,5006551,938124,938124,1563540,1563540,0,0.0,0.0,0,2501664,0.008373899999999998,0.0014235,1250832,0,0,0,0,0,0.351458,0.32843,0.0821073,0.971756,0.898093,0.407239,0,1,1,2,1,0,0,1,0,0.0,0.008955300000000001,0.0,0,1,V100,stream,N10006656_STREAM_Triad
123.0,STREAM_Triad,1.0,1.0,0.952235,0.000668,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2500544,1250272,0,5,2500737,1288890,2500570,1277336,0.0,0.0,537129683779.584,268564305018.88,537129683779.584,268564305018.88,0.0,0.0,0.0,0.0,537135052488.704,274377543254.016,805693988798.4641,537129683779.584,268564305018.88,537170485968.896,276860034351.104,0.0,1074014.45376,0.0,0.0,0.0,0.0,1.0,937704,0,0,0,0,20004352,0,10002176,0,0,22392371,5004433,9,1,0.0047371,0.0273791,0.957245,0.0,0.0,0.0008757,0.0008913,0.000663,0.0,10002176,0,50010880,0,10002176,30006528,40008704,0,5004433,937704,937704,1562840,1562840,0,0.0,0.0,0,2500544,0.0068422000000000005,0.0013655999999999998,1250272,0,0,0,0,0,0.30041,0.279878,0.0699694,0.974376,0.899855,0.358838,0,1,1,1,1,0,0,1,0,0.0,0.0070973,0.0,0,1,V100,stream,N10002176_STREAM_Triad
903.214506,invert_mapping,0.999992,0.999942,0.959898,0.00373,0.0,0.0,0.0,0.0,31.936735,4.499751,0,0,0,0,10923641,1539095,0,5,10402467,1759666,20611637,1576665,0.059783900000000015,0.0,46266461454.336,46266461454.336,369421948289.024,52050064415.1296,0.0231145,0.0399626,0.0163131,0.204626,697057086013.44,53320623115.4688,676087981932.544,353259986354.176,52050064415.1296,351797549989.888,59509456240.64,0.0,169091.072,0.0,0.0,0.0,0.0,0.888882,4997893,0,0,0,0,0,0,0,0,0,9364528,2375391,9,1,0.0001827,0.0023221,0.539172,0.0,0.0,3.47e-05,0.0003449,0.0013272,0.0,0,0,43174104,0,2585076,21889200,4204452,0,2375391,141456,141456,724936,724936,0,0.0,0.0,0,10445718,0.455538,0.0010772,1539095,0,0,0,0,0,0.02424,0.024236,0.006059,0.981271,0.956355,0.090148,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N321900_invert_mapping
123.0,STREAM_Add,1.0,1.0,0.952235,0.000668,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2501440,1250720,0,5,2501641,1289395,2501474,1278059,0.0,0.0,535986148737.024,267993074368.512,535986148737.024,267993074368.512,0.0,0.0,0.0,0.0,535993664929.7921,273851409760.256,803980296847.36,535986148737.024,267993074368.512,536029098409.984,276280213766.144,0.0,1071340.58496,0.0,0.0,0.0,0.0,1.0,938040,0,0,0,0,10005760,10005760,0,0,0,19054719,5006201,9,1,0.0047527,0.027259600000000002,0.957525,0.0,0.0,0.0008472999999999999,0.0008010000000000001,0.0006328,0.0,10005760,0,50028800,0,10005760,30017280,40023040,0,5006201,938040,938040,1563400,1563400,0,0.0,0.0,0,2501440,0.0068601,0.0013207000000000002,1250720,0,0,0,0,0,0.303631,0.278675,0.0696688,0.973556,0.900299,0.354502,0,1,1,1,1,0,0,1,0,0.0,0.0037064,0.0,0,1,V100,stream,N10005760_STREAM_Add
907.224913,invert_mapping,0.999991,0.999961,0.959919,0.002558,0.0,0.0,0.0,0.0,31.931732,4.499834,0,0,0,0,9788481,1379397,0,5,9303651,1569903,18163312,1411004,0.0635218,0.0,46789266348.4416,46789266348.4416,373531158249.4721,52638152812.1344,0.0195626,0.0468367,0.0289375,0.22288400000000005,693116453519.36,53844287003.0336,689893080563.712,354316548308.992,52638152812.1344,355029512880.128,59907921831.5264,0.0,190799.872,0.0,0.0,0.0,0.0,0.888884,4519709,0,0,0,0,0,0,0,0,0,2120616,2126040,9,1,0.0002135,0.0023652,0.569587,0.0,0.0,4.7499999999999996e-05,0.0002213,0.0013120999999999999,0.0,0,0,38688744,0,2315436,19618000,3765372,0,2126040,126688,126688,649616,649616,0,0.0,0.0,0,9284972,0.4252320000000001,0.0010206,1379397,0,0,0,0,0,0.091099,0.024732,0.006182999999999999,0.9658530000000001,0.899826,0.082361,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N288500_invert_mapping
871.9810960000002,invert_mapping,0.99998,0.999794,0.959735,0.0045060000000000005,0.0,0.0,0.0,0.0,31.886355,4.499115,0,0,0,0,4286674,604843,0,5,3864981,680340,7597697,653581,0.0968168,0.0,48027290671.5136,48027290671.5136,382938210369.536,54031977073.8688,0.0195205,0.0848816,0.026523,0.259085,678719723143.168,58385892796.0064,733223931871.232,347018325131.264,54031977073.8688,345267052216.32,60776256844.5952,0.0,446657.536,0.0,0.0,0.0,0.0,0.8888670000000001,2051956,0,0,0,0,0,0,0,0,0,931414,939189,9,1,0.0004386999999999999,0.0014380999999999999,0.688883,0.0,0.0,6.29e-05,0.00058,0.000166,0.0,0,0,16986696,0,1020924,8602000,1662348,0,939189,55912,55912,285244,285244,0,0.0,0.0,0,3884584,0.307531,0.0008992000000000002,604843,0,0,0,0,0,0.094489,0.025887,0.006471599999999999,0.949938,0.755216,0.069333,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N126500_invert_mapping
123.0,STREAM_Add,1.0,1.0,0.952235,0.000618,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2501152,1250576,0,5,2501397,1291652,2501193,1271350,0.0,0.0,535994738671.616,267997369335.808,535994738671.616,267997369335.808,0.0,0.0,0.0,0.0,536004402348.032,272449102938.112,803993181749.2479,535994738671.616,267997369335.808,536047352020.992,276799904808.96,0.0,1071487.3856,0.0,0.0,0.0,0.0,1.0,937932,0,0,0,0,10004608,10004608,0,0,0,19052525,5005565,9,1,0.0049483,0.0282862,0.95587,0.0,0.0,0.0008593,0.0009266,0.0006346,0.0,10004608,0,50023040,0,10004608,30013824,40018432,0,5005565,937932,937932,1563220,1563220,0,0.0,0.0,0,2501152,0.0071458999999999984,0.0013287000000000002,1250576,0,0,0,0,0,0.311267,0.287106,0.0717763,0.973843,0.899961,0.363424,0,1,1,1,1,0,0,1,0,0.0,0.0040360000000000005,0.0,0,1,V100,stream,N10004608_STREAM_Add
123.0,STREAM_Triad,1.0,1.0,0.952235,0.000633,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2504864,1252432,0,5,2505020,1291893,2504891,1283563,0.0,0.0,536112850272.256,268056425136.128,536112850272.256,268056425136.128,0.0,0.0,0.0,0.0,536119292723.2,274718993154.048,804170349150.208,536112850272.256,268056425136.128,536147210010.624,276502478323.712,0.0,1070134.72256,0.0,0.0,0.0,0.0,1.0,939324,0,0,0,0,20038912,0,10019456,0,0,22766082,5012825,9,1,0.004697,0.027320999999999998,0.957536,0.0,0.0,0.0008712999999999999,0.0007406000000000001,0.0006604,0.0,10019456,0,50097280,0,10019456,30058368,40077824,0,5012825,939324,939324,1565540,1565540,0,0.0,0.0,0,2504864,0.0068164,0.0013563,1252432,0,0,0,0,0,0.298968,0.278656,0.06966389999999999,0.975004,0.899332,0.357094,0,1,1,1,1,0,0,1,0,0.0,0.0080081,0.0,0,1,V100,stream,N10019456_STREAM_Triad
911.80168,invert_mapping,0.999992,0.999945,0.959907,0.002143,0.0,0.0,0.0,0.0,31.938034,4.4997669999999985,0,0,0,0,11657063,1642370,0,5,10871453,1876683,21673236,1638898,0.07096079999999999,0.0,46466177433.6,46466177433.6,371030413541.376,52274798578.8928,0.012709,0.06118580000000001,0.020960299999999998,0.210384,689834024763.3921,52164203171.0208,679720450523.136,345785669517.312,52274798578.8928,346026187685.888,59732687165.8496,0.0,159142.91199999998,0.0,0.0,0.0,0.0,0.888883,5338871,0,0,0,0,0,0,0,0,0,2524461,2529870,9,1,0.000101,0.0025038,0.535173,0.0,0.0,4.24e-05,0.0003555,0.0013254000000000002,0.0,0,0,46056856,0,2754964,23358000,4479428,0,2529870,150724,150724,773354,773354,0,0.0,0.0,0,10863921,0.4593890000000001,0.0011087,1642370,0,0,0,0,0,0.08454500000000001,0.02477,0.0061924,0.970182,0.955392,0.093173,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N343500_invert_mapping
123.0,STREAM_Triad,1.0,1.0,0.952235,0.000607,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,2503456,1251728,0,5,2503631,1292814,2503480,1279951,0.0,0.0,536183717232.64,268091858616.32,536183717232.64,268091858616.32,0.0,0.0,0.0,0.0,536189085941.76,274135951343.61606,804276649590.784,536183717232.64,268091858616.32,536221298196.48,276891172864.0,0.0,1070879.21152,0.0,0.0,0.0,0.0,1.0,938796,0,0,0,0,20027648,0,10013824,0,0,20074587,5010025,9,1,0.0047087,0.0273503,0.95744,0.0,0.0,0.0008713999999999999,0.0007827999999999999,0.0006586000000000001,0.0,10013824,0,50069120,0,10013824,30041472,40055296,0,5010025,938796,938796,1564660,1564660,0,0.0,0.0,0,2503456,0.0068257000000000005,0.0013612,1251728,0,0,0,0,0,0.303345,0.279484,0.069871,0.974197,0.899813,0.358754,0,1,1,1,1,0,0,1,0,0.0,0.007675199999999998,0.0,0,1,V100,stream,N10013824_STREAM_Triad
907.67094,invert_mapping,0.999993,0.99998,0.959938,0.002046,0.0,0.0,0.0,0.0,31.91283,3.999916,0,0,0,0,12878295,1614150,0,5,11764291,1637846,22384965,1668845,0.0924518,0.0,50244030667.1616,50244030667.1616,400865403863.04,50244030667.1616,0.015324299999999999,0.08283950000000001,0.0520694,0.15992900000000002,696782208106.496,51946555703.296,738089056075.7759,364492399575.04,50244030667.1616,366189985398.784,50981691300.2496,0.0,155634.688,0.0,0.0,0.0,0.0,1.0,5927996,0,0,0,0,0,0,0,0,0,11044540,2800823,9,1,0.0001864,0.0026519,0.5363720000000001,0.0,0.0,3.63e-05,0.0001672,0.0015175,0.0,0,0,50931504,0,3047976,25826400,4956552,0,2800823,166764,166764,855166,855166,0,0.0,0.0,0,11709761,0.457917,0.0011503,1614150,0,0,0,0,0,0.026759,0.026813,0.0067033,0.962888,0.9466,0.097681,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,V100,kmeans,N379800_invert_mapping
