==3774== NVPROF is profiling process 3774, command: ./maud_stream.exe -B 256 -N 100000
==3774== Profiling application: ./maud_stream.exe -B 256 -N 100000
 STREAM Benchmark implementation in CUDA
 Array size (single precision)=100000
 using 256 threads per block, 391 blocks
Function      Rate (MB/s)   Avg time
Copy:      54385.22546564   0.00001471
Scale:     55679.74613890   0.00001437
Add:       82373.02198850   0.00001457
Triad:     81518.32225807   0.00001472
==3774== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","System","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,,
124.586400,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
124.644157,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
128.971074,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25008/250000","[Power/Limit (mW)]",
187.020374,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
189.979699,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"24995/250000","[Power/Limit (mW)]",
252.864350,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
252.935507,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
255.910299,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25307/250000","[Power/Limit (mW)]",
287.972537,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
290.929984,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25309/250000","[Power/Limit (mW)]",
351.661165,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
351.768976,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
354.857618,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25309/250000","[Power/Limit (mW)]",
383.431400,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
387.591263,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25307/250000","[Power/Limit (mW)]",
438.397470,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"1189/715","[SM/Memory Clock (MHz)]",
438.426548,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
441.247350,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"31391/250000","[Power/Limit (mW)]",
491.478555,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
494.857616,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"37699/250000","[Power/Limit (mW)]",
498.640044,2.944000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"set_array(float*, float, int)",110
498.652875,1.984000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"set_array(float*, float, int)",115
498.661803,1.952000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"set_array(float*, float, int)",120
498.675915,2.912000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",125
498.697291,2.912000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",132
498.716075,3.072000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",139
498.747915,3.264000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",147
498.769610,2.240000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",153
498.785546,2.272000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",160
498.800874,2.368000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",167
498.816202,2.336000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",175
498.830986,2.240000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",181
498.846474,2.240000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",188
498.862026,2.368000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",195
498.877577,2.336000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",203
498.892265,2.240000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",209
498.907561,2.240000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",216
498.922793,2.368000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",223
498.938441,2.336000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",231
498.953321,2.240000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",237
498.967913,2.272000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",244
498.982920,2.368000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",251
498.998536,2.336000,391,1,1,256,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",259
