==3853== NVPROF is profiling process 3853, command: ./maud_stream.exe -B 512 -N 100000
 STREAM Benchmark implementation in CUDA
 Array size (single precision)=100000
 using 512 threads per block, 196 blocks
Function      Rate (MB/s)   Avg time
Copy:      56338.55622447   0.00001420
Scale:     54985.61023572   0.00001455
Add:       82039.70753643   0.00001463
Triad:     79488.61191349   0.00001510
==3853== Profiling application: ./maud_stream.exe -B 512 -N 100000
==3853== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","System","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,,
125.214401,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
125.269174,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
125.674565,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25012/250000","[Power/Limit (mW)]",
177.092996,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
180.019294,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"24991/250000","[Power/Limit (mW)]",
232.866229,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
232.994674,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
235.993147,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25004/250000","[Power/Limit (mW)]",
294.729900,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
297.683742,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25015/250000","[Power/Limit (mW)]",
331.169243,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
331.241801,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
334.612516,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25307/250000","[Power/Limit (mW)]",
388.570442,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25","[Temperature (C)]",
394.667456,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"28468/250000","[Power/Limit (mW)]",
